iter	Passed	Remaining
0	143	143512
1	147	73790
2	150	50013
3	153	38123
4	156	31056
5	159	26415
6	162	23063
7	165	20543
8	168	18593
9	171	17019
10	175	15746
11	178	14677
12	181	13762
13	184	12987
14	188	12350
15	190	11725
16	193	11180
17	196	10702
18	198	10268
19	201	9871
20	203	9500
21	206	9198
22	210	8922
23	213	8672
24	216	8438
25	218	8200
26	221	7975
27	224	7780
28	226	7590
29	229	7412
30	232	7253
31	234	7098
32	237	6951
33	239	6808
34	242	6682
35	244	6553
36	247	6431
37	249	6324
38	252	6229
39	255	6130
40	257	6029
41	260	5933
42	262	5843
43	264	5753
44	267	5666
45	269	5584
46	272	5529
47	276	5483
48	278	5413
49	281	5348
50	283	5280
51	286	5219
52	289	5167
53	291	5112
54	294	5057
55	296	5003
56	299	4962
57	302	4919
58	305	4875
59	308	4837
60	311	4793
61	313	4745
62	316	4699
63	318	4656
64	320	4612
65	322	4568
66	325	4527
67	328	4499
68	331	4471
69	334	4440
70	336	4407
71	339	4372
72	341	4340
73	344	4314
74	347	4284
75	349	4251
76	351	4218
77	354	4186
78	356	4159
79	359	4131
80	361	4102
81	364	4077
82	366	4048
83	368	4020
84	370	3990
85	373	3966
86	375	3942
87	378	3918
88	380	3895
89	382	3871
90	385	3849
91	387	3827
92	391	3815
93	394	3799
94	396	3778
95	398	3755
96	401	3734
97	403	3717
98	406	3697
99	409	3682
100	412	3668
101	414	3651
102	417	3636
103	419	3618
104	422	3602
105	424	3582
106	427	3564
107	429	3546
108	431	3529
109	434	3511
110	436	3494
111	438	3477
112	441	3464
113	443	3447
114	446	3434
115	448	3419
116	451	3403
117	453	3388
118	455	3373
119	457	3357
120	460	3344
121	462	3328
122	464	3314
123	466	3298
124	469	3285
125	471	3270
126	474	3259
127	477	3250
128	479	3238
129	481	3224
130	484	3211
131	486	3198
132	488	3186
133	491	3173
134	493	3160
135	495	3147
136	497	3135
137	499	3121
138	502	3112
139	504	3100
140	507	3091
141	509	3080
142	512	3070
143	514	3061
144	518	3055
145	520	3047
146	523	3038
147	526	3028
148	528	3018
149	530	3008
150	533	3001
151	536	2991
152	538	2979
153	540	2969
154	543	2961
155	545	2951
156	547	2941
157	549	2930
158	552	2921
159	554	2912
160	557	2903
161	559	2894
162	562	2885
163	564	2876
164	566	2867
165	568	2858
166	571	2849
167	573	2839
168	576	2832
169	578	2825
170	581	2817
171	583	2809
172	585	2800
173	588	2793
174	591	2787
175	593	2780
176	596	2771
177	598	2763
178	600	2754
179	602	2745
180	605	2738
181	607	2731
182	609	2723
183	612	2714
184	614	2706
185	616	2697
186	619	2691
187	621	2685
188	624	2677
189	626	2672
190	629	2665
191	631	2658
192	634	2652
193	637	2647
194	639	2640
195	641	2633
196	644	2626
197	646	2620
198	649	2612
199	651	2605
200	653	2597
201	656	2591
202	658	2585
203	660	2578
204	663	2572
205	666	2567
206	668	2560
207	670	2553
208	672	2546
209	674	2536
210	676	2529
211	678	2523
212	681	2517
213	683	2510
214	685	2504
215	688	2497
216	690	2490
217	692	2485
218	695	2480
219	697	2474
220	700	2468
221	702	2463
222	705	2457
